country_code,country_name,cluster,label,mean,std,growth,trend,mean_p1,mean_p2,mean_p3
MMR,Myanmar,0,Emisi Rendah,8168.768945458476,7081.797112692424,34002.7542207031,297.46003843217005,3865.7514,5856.5553,14784.00013637543
MNE,Montenegro,0,Emisi Rendah,1941.9999883969624,438.1506477224368,679.9999046325702,42.06451496955945,1483.0,1960.999995708466,2381.999969482421
MNG,Mongolia,0,Emisi Rendah,9116.011071752928,5561.789023024148,21775.5486948242,298.33108833092933,3073.3127,9629.720500000001,14645.00001525878
MUS,Mauritius,0,Emisi Rendah,1685.9809087420144,1347.9079870569121,3990.31707629395,73.61207054839315,476.1599499999999,1134.2827499999999,3447.5000262260446
MRT,Mauritania,0,Emisi Rendah,1330.9703844459534,1085.7543324412527,3913.33004768372,53.13399144755559,320.1291,1280.28205,2392.5000033378606
MWI,Malawi,0,Emisi Rendah,704.2485726206644,230.91035544378158,1119.97004768372,12.66541924265786,516.4358333333334,646.4250000000001,940.000003513537
MYS,Malaysia,0,Emisi Rendah,89408.84414305011,81413.71928966155,249702.013272461,4479.862818487639,13297.82545,61121.705850000006,193807.00112915033
VUT,Vanuatu,0,Emisi Rendah,83.30715480759223,40.56062014686649,169.66299344348897,1.8933026544335236,55.96999999999999,68.86236842105264,122.99999894201744
NAM,Namibia,0,Emisi Rendah,2623.344559990947,1068.767585395695,4179.66279019165,120.26033782465748,1509.0337,2483.00000667572,3877.9999732971205
NCL,New Caledonia,0,Emisi Rendah,2153.5583333333334,995.7043811129664,4466.406,44.99110467980295,1692.61,1631.2359999999999,3136.8289999999997
NER,Niger,0,Emisi Rendah,764.7311003576282,590.7834270153238,2120.66409536743,28.888198706772393,214.8862,735.3071,1344.0000010728843
NGA,Nigeria,0,Emisi Rendah,67596.56392002766,33776.36638496202,111873.35577929701,1812.022240937303,27974.62625,75852.56580000001,98962.499710083
NIC,Nicaragua,0,Emisi Rendah,2807.713256993612,1462.4255016186864,4708.28477111816,80.5456825226941,1426.27965,2346.3601,4650.500020980835
NLD,Netherlands,0,Emisi Rendah,148624.04999873048,26021.34064831023,72834.981337891,938.4078176808034,128664.21235,155974.93905,161232.9985961915
